bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
208180201,녹산동행정복지센터,128.883488856439,35.154407196216,POINT (371627.1397062022 285849.7247166805),165.0,26440116,26440,범방동,404.0
208180202,녹산동행정복지센터,128.88354625798,35.154462806681,POINT (371632.25404125004 285855.9945157251),165.0,26440116,26440,범방동,404.0
208220102,왕자아파트,129.118683414055,35.196517272455,POINT (392962.065740773 290953.8742933111),123.0,26350103,26350,반여동,1.0
208220301,영원프라자,129.118225405677,35.194971928192,POINT (392924.001350855 290781.49820249213),123.0,26350103,26350,반여동,1.0
208230102,무정리,129.120343842567,35.19512517274,POINT (393116.6115171146 290802.6195595485),123.0,26350103,26350,반여동,1.0
208230103,무정삼거리,129.12197116141,35.196236839598,POINT (393262.21282740217 290929.1455912988),123.0,26350103,26350,반여동,1.0
208270302,금화맨션삼거리,129.008147775151,35.104306687236,POINT (383100.00133350794 280512.4982073237),129.0,26380101,26380,괴정동,3576.0
208270303,까치고개 87번종점,129.011415411109,35.104576576505,POINT (383397.37653196993 280548.45997487224),56.0,26140116,26140,아미동2가,85.0
208270304,동보하이츠아파트(사하구치매안심센터),129.005945749011,35.103931970522,POINT (382900.0332616691 280466.870738699),129.0,26380101,26380,괴정동,3576.0
208270305,아미까치공영주차장,129.010025166773,35.104843305894,POINT (383270.00133362005 280575.4982074845),56.0,26140116,26140,아미동2가,85.0
208780103,롯데캐슬211동,128.965097938744,35.057348455554,POINT (379277.00132419023 275223.4982123708),134.0,26380106,26380,다대동,3650.0
208780104,롯데캐슬215동,128.964557775217,35.056302811796,POINT (379230.00132397877 275106.49821247114),134.0,26380106,26380,다대동,3650.0
208780201,롯데캐슬201동,128.964445823801,35.059292080866,POINT (379213.2513246441 275437.99821170105),134.0,26380106,26380,다대동,3650.0
208800102,롯데캐슬201동,128.964234143897,35.059034164013,POINT (379194.50132458686 275408.998211759),134.0,26380106,26380,다대동,3650.0
208800301,롯데캐슬상가,128.96274125261,35.056075387088,POINT (379064.75132402015 275077.99821226567),134.0,26380106,26380,다대동,3650.0
208810301,롯데캐슬211동,128.965362638082,35.057303612,POINT (379301.25132423016 275218.99821238784),134.0,26380106,26380,다대동,3650.0
208810302,롯데캐슬215동,128.964799697344,35.056222290791,POINT (379252.25132395304 275097.9982125216),134.0,26380106,26380,다대동,3650.0
208850102,감천초등학교,129.006176967943,35.082150551669,POINT (382969.79247020936 278050.30885986815),136.0,26380108,26380,감천동,3570.0
208850103,대한수산,129.005918044649,35.081942463163,POINT (382946.63935025653 278026.7427820955),136.0,26380108,26380,감천동,3570.0
208850104,원스탑마트,129.0060405555,35.084575009792,POINT (382951.9333276165 278319.0892401246),136.0,26380108,26380,감천동,3570.0
208910101,안창마을입구,129.046462885921,35.145379321718,POINT (386500.31695229735 285141.32940590644),68.0,26170104,26170,범일동,1995.0
208910102,보각사,129.04616666142,35.145465744626,POINT (386473.11998245475 285150.36418580334),68.0,26170104,26170,범일동,1995.0
208910103,안창삼거리,129.047810568112,35.144434389147,POINT (386625.31132797734 285039.0002991114),68.0,26170104,26170,범일동,1995.0
208910201,안창마을,129.04015300185,35.144829713826,POINT (385926.44611416844 285068.5291460951),93.0,26230104,26230,범천동,41.0
208930103,경성전자고등학교,129.012721805238,35.116355919276,POINT (383490.08775852533 281857.9728693732),46.0,26140106,26140,서대신동3가,99.0
208930104,금호아파트,129.011316879974,35.118922133706,POINT (383356.23673970153 282140.14682888513),46.0,26140106,26140,서대신동3가,99.0
208930105,남성한빛.대신더샵,129.012161779331,35.117369461112,POINT (383436.7527201411 281969.4094884609),46.0,26140106,26140,서대신동3가,99.0
208980105,구평고개,128.994221221511,35.087901479858,POINT (381866.46674255986 278666.5708349591),135.0,26380107,26380,구평동,3630.0
208980106,구평화신아파트,128.993358853405,35.086264668024,POINT (381791.4445042901 278483.3677832579),135.0,26380107,26380,구평동,3630.0
208980107,유림아파트,128.99398929366,35.090743369063,POINT (381839.0013308946 278981.4982084648),136.0,26380108,26380,감천동,3570.0
208980302,구평초등학교,128.990304422845,35.086008904738,POINT (381513.41342515976 278449.4176004634),135.0,26380107,26380,구평동,3630.0
209010202,부산종합터미널.노포역,129.094337061565,35.283615944445,POINT (390540.4057464743 300572.1926485178),138.0,26410102,26410,노포동,36.0
209050102,시민도서관,129.050562395743,35.180586390778,POINT (386793.41276909236 289055.8700013399),96.0,26230107,26230,초읍동,94.0
209060204,반송본동,129.151294376372,35.231156234782,POINT (395849.36011010036 294861.6215585949),121.0,26350101,26350,반송동,6.0
209270202,달산초등학교,129.187764114618,35.319800228765,POINT (398953.00107990706 304771.2629199539),189.0,26710256,26710,정관읍,2305.0
209270502,구연마을,129.184267083219,35.32018099208,POINT (398634.0013769105 304806.4981833327),189.0,26710256,26710,정관읍,2305.0
209270503,중앙중학교,129.184801879111,35.322077187155,POINT (398678.00137736875 305017.99818289385),189.0,26710256,26710,정관읍,2305.0
209360201,고원1차아파트,129.282715125576,35.332058403446,POINT (407557.88720188034 306326.5121375286),188.0,26710253,26710,장안읍,2309.0
209500102,의창수협,128.873181289564,35.083649459263,POINT (370835.50133236864 277980.49819108035),166.0,26440117,26440,신호동,102.0
209510202,두산위브아파트,128.899309949529,35.083058156499,POINT (373220.00133161526 277959.9981953536),153.0,26440104,26440,명지동,91.0
209570202,동삼삼거리,129.072337338249,35.084597644396,POINT (388999.06924488314 278445.3605287809),89.0,26200121,26200,동삼동,753.0
209580302,동삼삼거리,129.072443044104,35.084315002239,POINT (389009.3635117219 278414.19713455916),89.0,26200121,26200,동삼동,753.0
209620101,선경3차아파트312동,129.08439984666,35.262153975638,POINT (389686.25136666803 298171.49818105187),143.0,26410107,26410,구서동,690.0
209660401,부산외국어대학교정문,129.085083837268,35.265692691544,POINT (389740.25136742194 298565.4981803236),140.0,26410104,26410,남산동,370.0
